TIMEID,CO2,Year_Month,Year,Month
MAY1974,333.13,1974.38,1974,5
JUN1974,332.09,1974.46,1974,6
JUL1974,331.1,1974.54,1974,7
AUG1974,329.14,1974.63,1974,8
SEP1974,327.36,1974.71,1974,9
OCT1974,327.29,1974.79,1974,10
NOV1974,328.23,1974.88,1974,11
DEC1974,329.55,1974.96,1974,12
JAN1975,330.62,1975.04,1975,1
FEB1975,331.4,1975.13,1975,2
MAR1975,331.87,1975.21,1975,3
APR1975,333.18,1975.29,1975,4
MAY1975,333.92,1975.38,1975,5
JUN1975,333.43,1975.46,1975,6
JUL1975,331.85,1975.54,1975,7
AUG1975,330.01,1975.63,1975,8
SEP1975,328.51,1975.71,1975,9
OCT1975,328.41,1975.79,1975,10
NOV1975,329.25,1975.88,1975,11
DEC1975,330.97,1975.96,1975,12
JAN1976,331.6,1976.04,1976,1
FEB1976,332.6,1976.13,1976,2
MAR1976,333.57,1976.21,1976,3
APR1976,334.72,1976.29,1976,4
MAY1976,334.68,1976.38,1976,5
JUN1976,334.17,1976.46,1976,6
JUL1976,332.96,1976.54,1976,7
AUG1976,330.8,1976.63,1976,8
SEP1976,328.98,1976.71,1976,9
OCT1976,328.57,1976.79,1976,10
NOV1976,330.2,1976.88,1976,11
DEC1976,331.58,1976.96,1976,12
JAN1977,332.67,1977.04,1977,1
FEB1977,333.17,1977.13,1977,2
MAR1977,334.86,1977.21,1977,3
APR1977,336.07,1977.29,1977,4
MAY1977,336.82,1977.38,1977,5
JUN1977,336.12,1977.46,1977,6
JUL1977,334.81,1977.54,1977,7
AUG1977,332.56,1977.63,1977,8
SEP1977,331.3,1977.71,1977,9
OCT1977,331.22,1977.79,1977,10
NOV1977,332.37,1977.88,1977,11
DEC1977,333.49,1977.96,1977,12
JAN1978,334.71,1978.04,1978,1
FEB1978,335.23,1978.13,1978,2
MAR1978,336.54,1978.21,1978,3
APR1978,337.79,1978.29,1978,4
MAY1978,337.95,1978.38,1978,5
JUN1978,338,1978.46,1978,6
JUL1978,336.37,1978.54,1978,7
AUG1978,334.47,1978.63,1978,8
SEP1978,332.46,1978.71,1978,9
OCT1978,332.29,1978.79,1978,10
NOV1978,333.76,1978.88,1978,11
DEC1978,334.8,1978.96,1978,12
JAN1979,336,1979.04,1979,1
FEB1979,336.63,1979.13,1979,2
MAR1979,337.93,1979.21,1979,3
APR1979,338.95,1979.29,1979,4
MAY1979,339.05,1979.38,1979,5
JUN1979,339.27,1979.46,1979,6
JUL1979,337.64,1979.54,1979,7
AUG1979,335.68,1979.63,1979,8
SEP1979,333.77,1979.71,1979,9
OCT1979,334.09,1979.79,1979,10
NOV1979,335.29,1979.88,1979,11
DEC1979,336.76,1979.96,1979,12
JAN1980,337.77,1980.04,1980,1
FEB1980,338.26,1980.13,1980,2
MAR1980,340.1,1980.21,1980,3
APR1980,340.88,1980.29,1980,4
MAY1980,341.47,1980.38,1980,5
JUN1980,341.31,1980.46,1980,6
JUL1980,339.41,1980.54,1980,7
AUG1980,337.74,1980.63,1980,8
SEP1980,336.07,1980.71,1980,9
OCT1980,336.07,1980.79,1980,10
NOV1980,337.22,1980.88,1980,11
DEC1980,338.38,1980.96,1980,12
JAN1981,339.32,1981.04,1981,1
FEB1981,340.41,1981.13,1981,2
MAR1981,341.69,1981.21,1981,3
APR1981,342.51,1981.29,1981,4
MAY1981,343.02,1981.38,1981,5
JUN1981,342.54,1981.46,1981,6
JUL1981,340.88,1981.54,1981,7
AUG1981,338.75,1981.63,1981,8
SEP1981,337.05,1981.71,1981,9
OCT1981,337.13,1981.79,1981,10
NOV1981,338.45,1981.88,1981,11
DEC1981,339.85,1981.96,1981,12
JAN1982,340.9,1982.04,1982,1
FEB1982,341.7,1982.13,1982,2
MAR1982,342.7,1982.21,1982,3
APR1982,343.65,1982.29,1982,4
MAY1982,344.28,1982.38,1982,5
JUN1982,343.42,1982.46,1982,6
JUL1982,342.02,1982.54,1982,7
AUG1982,339.97,1982.63,1982,8
SEP1982,337.84,1982.71,1982,9
OCT1982,338,1982.79,1982,10
NOV1982,339.2,1982.88,1982,11
DEC1982,340.63,1982.96,1982,12
JAN1983,341.41,1983.04,1983,1
FEB1983,342.68,1983.13,1983,2
MAR1983,343.04,1983.21,1983,3
APR1983,345.27,1983.29,1983,4
MAY1983,345.92,1983.38,1983,5
JUN1983,345.4,1983.46,1983,6
JUL1983,344.16,1983.54,1983,7
AUG1983,342.11,1983.63,1983,8
SEP1983,340.11,1983.71,1983,9
OCT1983,340.15,1983.79,1983,10
NOV1983,341.38,1983.88,1983,11
DEC1983,343.02,1983.96,1983,12
JAN1984,343.87,1984.04,1984,1
FEB1984,344.59,1984.13,1984,2
MAR1984,345.11,1984.21,1984,3
APR1984,347.07,1984.29,1984,4
MAY1984,347.38,1984.38,1984,5
JUN1984,346.78,1984.46,1984,6
JUL1984,344.96,1984.54,1984,7
AUG1984,342.71,1984.63,1984,8
SEP1984,340.86,1984.71,1984,9
OCT1984,341.13,1984.79,1984,10
NOV1984,342.84,1984.88,1984,11
DEC1984,344.32,1984.96,1984,12
JAN1985,344.88,1985.04,1985,1
FEB1985,345.62,1985.13,1985,2
MAR1985,347.23,1985.21,1985,3
APR1985,347.62,1985.29,1985,4
MAY1985,348.53,1985.38,1985,5
JUN1985,347.87,1985.46,1985,6
JUL1985,346,1985.54,1985,7
AUG1985,343.86,1985.63,1985,8
SEP1985,342.55,1985.71,1985,9
OCT1985,342.57,1985.79,1985,10
NOV1985,344.11,1985.88,1985,11
DEC1985,345.49,1985.96,1985,12
JAN1986,346.04,1986.04,1986,1
FEB1986,346.7,1986.13,1986,2
MAR1986,347.38,1986.21,1986,3
APR1986,349.38,1986.29,1986,4
MAY1986,349.93,1986.38,1986,5
JUN1986,349.26,1986.46,1986,6
JUL1986,347.44,1986.54,1986,7
AUG1986,345.55,1986.63,1986,8
SEP1986,344.21,1986.71,1986,9
OCT1986,343.67,1986.79,1986,10
NOV1986,345.09,1986.88,1986,11
DEC1986,346.27,1986.96,1986,12
JAN1987,347.33,1987.04,1987,1
FEB1987,347.82,1987.13,1987,2
MAR1987,349.29,1987.21,1987,3
APR1987,350.91,1987.29,1987,4
MAY1987,351.71,1987.38,1987,5
JUN1987,350.94,1987.46,1987,6
JUL1987,349.1,1987.54,1987,7
AUG1987,346.77,1987.63,1987,8
SEP1987,345.73,1987.71,1987,9
